ID,Incident Date,District,Bias Code,Bias Code_2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects < 18 of age,# Suspects 18-35 of age,# Suspects 36-45 of age,# Suspects 46-55 of age,# Suspects > 55 of age,Suspect Known/Unknown
170524454,8/12/2017,6D,Anti-Homosexual,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,1,,,Known
180023500,5/10/2018,RCPD,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),,,,,,,Unknown
17010637,2/28/2017,5D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
190025582,5/31/2019,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
180010731,3/2/2018,TPPD,Anti-Transgender,,Assault (physical),Closed-Exception,1,Individual(s),2,,,,,,Unknown
16001171,1/7/2016,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
16064844,12/18/2016,6D,Anti-Homosexual,,Vandalism,Inactive,,Other,,,,,,,Unknown
170528411,9/2/2017,6D,Anti-Black,,Physical Intimidation/Simple Assault,Open,1,Individual(s),3,3,,,,,Known
170531517,9/18/2017,2D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,,,,,Known
190023112,5/16/2019,1D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
180000925,1/6/2018,2D,Anti-Asian,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
16067112,12/31/2016,1D,Anti-Jewish,,Vandalism,Inactive,,Other,,,,,,,Unknown
180036383,7/22/2018,GCPD,Anti-Arab,,Vandalism,Open,2,Individual(s),,,,,,,Unknown
190041233,8/28/2019,RCPD,Anti-Other Ethnicity,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,1,Known
16030098,6/14/2016,4D,Anti-Asian,,Verbal Intimidation/Simple Assault,N/A,2,Individual(s),2,,,,,2,Known
190040984,8/26/2019,4D,Anti-Jewish,,Vandalism,Open,,Other,,,,,,,Unknown
200002368,1/14/2020,4D,Anti-Islamic,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
180034717,7/13/2018,2D,Anti-Black,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
16031655,6/16/2016,2D,Anti-Islamic,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
17011943,3/6/2017,1D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
180053627,10/25/2018,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
200001627,1/4/2020,4D,Anti-Jewish,Anti-Multi-Racial,Flyer Left Behind,N/A,,Society,,,,,,,Unknown
170528121,9/1/2017,RCPD,Anti-Multi-Racial,,Flyer Left Behind,Open,,Society,,,,,,,Unknown
16020209,4/24/2016,1D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
180005896,1/31/2018,3D,Anti-Homosexual,,Vandalism,Closed-Admin,1,Individual(s),,,,,,,Unknown
190022028,5/10/2019,4D,Anti-Jewish,,Vandalism,N/A,,Society,,,,,,,Unknown
16058486,11/12/2016,3D,Anti-Hispanic,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
16058581,11/13/2016,4D,Anti-Hispanic,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
16042149,8/20/2016,3D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,,1,Known
200021910,6/3/2020,4D,Anti-Black,,Vandalism,Open,,Business/Financial Institution,1,,,,,,Unknown
200010934,3/5/2020,RCPD,Anti-Asian,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
190030534,6/24/2019,1D,Anti-Hispanic,,Assault (physical),Open,1,Individual(s),4,,4,,,,Unknown
17000401,1/3/2017,2D,Anti-Black,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,,1,,,,Known
200011796,3/10/2020,RCPD,Anti-Multi-Racial,Anti-Homosexual,Written Intimidation/Simple Assault,N/A,,School/College,,,,,,,Unknown
16012552,3/14/2016,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,,,Known
190015763,4/4/2019,2D,Anti-Homosexual,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
180004831,1/28/2018,RCPD,Anti-Gender Non-Conforming,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
16014707,3/25/2016,TPPD,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Arrest,1,Individual(s),1,,,,1,,Known
180061842,12/11/2018,6D,Anti-Homosexual,Anti-Jewish,Vandalism,Closed-Admin,1,School/College,1,1,,,,,Known
190018069,4/17/2019,2D,Anti-Jewish,,Vandalism,Open,,Society,,,,,,,Unknown
170535772,10/8/2017,1D,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),2,2,,,,,Known
16052215,10/3/2016,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
17007821,2/13/2017,GCPD,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
200021449,5/30/2020,2D,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),4,3,,,,,Known
190006274,2/8/2019,1D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),4,4,,,,,Known
180011551,3/7/2018,1D,Anti-White,,Written Intimidation/Simple Assault,Closed-Arrest,,School/College,1,,,,1,,Known
180008200,2/16/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Inactive,1,Individual(s),,,,,,,Unknown
170526402,8/23/2017,RCPD,Anti-Jewish,Anti-Islamic,Flyer Left Behind,Open,,Other,,,,,,,Unknown
16058365,11/12/2016,3D,Anti-Islamic,,Verbal Intimidation/Simple Assault,N/A,,Religious Organization,1,,,,,1,Known
190049702,10/16/2019,3D,Anti-Black,,Vandalism,Closed-Arrest,1,Individual(s),2,,1,1,,,Known
180044692,9/7/2018,4D,Anti-Jewish,,Vandalism,Closed-Arrest,,Religious Organization,1,,1,,,,Known
180014001,3/21/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,,1,,,,Known
190003502,1/23/2019,4D,Anti-Islamic,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,,Known
16063483,12/10/2016,2D,Anti-Jewish,,Flyer Left Behind,Closed-Exception,1,Individual(s),,,,,,,Unknown
170507863,5/15/2017,2D,Anti-Black,,Vandalism,N/A,,School/College,,,,,,,Unknown
200014302,3/28/2020,5D,Anti-Other Religion,,Vandalism,Open,,Religious Organization,,,,,,,Unknown
200005776,2/4/2020,4D,Anti-Black,,Vandalism,N/A,,School/College,,,,,,,Unknown
190025231,5/27/2019,2D,Anti-Black,,Vandalism,Open,,Society,,,,,,,Unknown
190007085,2/13/2019,5D,Anti-Black,,Assault (simple),Closed-Arrest,1,Individual(s),1,,,1,,,Known
180056355,11/8/2018,4D,Anti-Transgender,,Assault (physical),Closed-Exception,1,Individual(s),1,,,,,,Known
16060113,11/22/2016,2D,Anti-Other Ethnicity,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
170516376,6/28/2017,GCPD,Anti-Black,,Vandalism,Inactive,3,Individual(s),,,,,,,Unknown
190030993,6/28/2019,1D,Anti-Black,,Vandalism,Open,,Other,,,,,,,Unknown
190021305,5/7/2019,4D,Anti-Asian,Anti-Homosexual,Vandalism,Open,,Individual(s),,,,,,,Unknown
180007926,2/15/2018,1D,Anti-Black,,Vandalism,Open,,School/College,,,,,,,Unknown
190019957,4/28/2019,6D,Anti-Homosexual,,Assault (physical),Inactive,1,Individual(s),2,,,,,,Unknown
200003031,1/18/2020,RCPD,Anti-Black,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,1,,Known
170508252,5/17/2017,2D,Anti-Black,,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,,,,,,Unknown
200001072,1/7/2020,TPPD,Anti-Jewish,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,,,,,1,Known
17012521,3/9/2017,1D,Anti-Catholic,,Vandalism,Closed-Admin,4,Individual(s),1,1,,,,,Known
17004089,1/23/2017,3D,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
180012537,3/13/2018,6D,Anti-Black,,Vandalism,Open,,Government,,,,,,,Unknown
180001592,1/10/2018,4D,Anti-Multi-Racial,Anti-Jewish,Vandalism,Open,1,Individual(s),,,,,,,Unknown
180054728,11/1/2018,6D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,1,,,,,,Known
16061267,11/29/2016,1D,Anti-Black,,Vandalism,Inactive,,School/College,,,,,,,Unknown
16010040,2/29/2016,6D,Anti-Jewish,,Vandalism,Open,,Other,,,,,,,Unknown
16034348,7/7/2016,2D,Anti-Jewish,,Vandalism,Inactive,,Government,,,,,,,Unknown
190037127,8/4/2019,4D,Anti-Black,,Vandalism,Closed-Admin,1,Individual(s),,,,,,,Unknown
200012207,3/12/2020,2D,Anti-Black,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Unknown
190043481,9/10/2019,GCPD,Anti-Multi-Racial,,Vandalism,Open,,Society,,,,,,,Unknown
200005935,2/5/2020,4D,Anti-Transgender,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,1,,,,,Unknown
200015065,4/5/2020,RCPD,Anti-Jewish,,Vandalism,Open,,Business/Financial Institution,,,,,,,Unknown
180036449,7/23/2018,5D,Anti-Jewish,Anti-Black,Flyer Left Behind,N/A,2,Individual(s),,,,,,,Unknown
200012731,3/15/2020,RCPD,Anti-Jewish,,Verbal Intimidation/Simple Assault,N/A,7,Individual(s),1,,,1,,,Known
190048760,10/10/2019,GCPD,Anti-Asian,,Assault (physical),Open,2,Individual(s),1,,1,,,,Known
170540409,11/1/2017,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,School/College,1,1,,,,,Known
170542528,11/13/2017,4D,Anti-Islamic,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
170513374,6/13/2017,4D,Anti-Black,,Vandalism,Open,,School/College,1,1,,,,,Known
180060495,12/3/2018,5D,Anti-Black,,Assault (physical),Closed-Arrest,1,Individual(s),1,,,,,1,Known
17010553,2/27/2017,4D,Anti-Islamic,,Written Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
200006894,2/10/2020,2D,Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,Known
190015019,3/26/2019,2D,Anti-Black,,Written Intimidation/Simple Assault,N/A,1,Individual(s),,,,,,,Known
180014071,3/21/2018,2D,Anti-Jewish,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),,,,,,,Unknown
17005248,1/30/2017,6D,Anti-Black,,Assault (physical),UNF,1,Individual(s),1,,,,,,Unknown
190059278,12/5/2019,1D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
190014251,3/27/2019,1D,Anti-Hispanic,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Known
180011102,3/4/2018,4D,Anti-White,,Written Intimidation/Simple Assault,UNF,1,Individual(s),4,4,,,,,Known
17010455,2/27/2017,2D,Anti-Jewish,,Verbal Intimidation/Simple Assault,RTOJ,,School/College,,,,,,,Unknown
170532001,9/21/2017,3D,Anti-Jewish,,Vandalism,Open,,Government,,,,,,,Unknown
180022971,5/9/2018,RCPD,Anti-Black,,Assault (physical),UNF,1,Individual(s),2,,,,,,Unknown
16020077,4/23/2016,4D,Anti-Black,,Other,N/A,,School/College,,,,,,,Unknown
190033954,7/17/2019,4D,Anti-Black,,Written Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Known
170526017,8/20/2017,4D,Anti-Homosexual,,Vandalism,Inactive,2,Individual(s),,,,,,,Unknown
170537332,10/16/2017,1D,Anti-Black,,Physical Intimidation/Simple Assault,RTOJ,,Government,,,,,,,Unknown
190031138,6/30/2019,RCPD,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),1,,1,,,,Known
16007812,2/16/2016,4D,Anti-Multi-Racial,,Vandalism,Open,,Other,,,,,,,Unknown
17005552,2/1/2017,5D,Anti-Other Ethnicity,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,,,1,,,Known
17008261,2/15/2017,4D,Anti-Jewish,,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),3,1,,,,,Unknown
180015906,4/2/2018,2D,Anti-Transgender,,Assault (physical),Open,1,Individual(s),1,,,,,1,Known
17001156,1/7/2017,RCPD,Anti-Jewish,,Written Intimidation/Simple Assault,Inactive,1,Individual(s),,,,,,,Unknown
190011458,3/11/2019,3D,Anti-Jewish,,Written Intimidation/Simple Assault,N/A,1,Individual(s),1,1,,,,,Known
180020921,4/29/2018,GCPD,Anti-Multi-Racial,,Vandalism,Inactive,,Society,,,,,,,Unknown
16053043,10/15/2016,5D,Anti-White,,Assault (physical),Closed-Arrest,1,Individual(s),1,,1,,,,Known
190019923,4/28/2019,RCPD,Anti-Jewish,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
180049428,10/3/2018,4D,Anti-Black,,Written Intimidation/Simple Assault,Closed-Admin,,School/College,1,1,,,,,Known
200009369,2/25/2020,2D,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
16038833,8/1/2016,4D,Anti-Transgender,,Assault (physical),Closed-Arrest,2,Individual(s),2,,2,,,,Known
16030124,6/14/2016,5D,Anti-White,,Assault (physical),Closed-Exception,1,Individual(s),1,,,,,,Known
200013722,3/20/2020,2D,Anti-Jewish,,Written Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
190041063,8/27/2019,5D,Anti-Multi-Racial,,Written Intimidation/Simple Assault,N/A,,Business/Financial Institution,,,,,,,Known
190009605,2/28/2019,3D,Anti-Homosexual,,Assault (physical),Open,1,Individual(s),2,,,,,,Unknown
180057207,11/14/2018,4D,Anti-Asian,,Verbal Intimidation/Simple Assault,Closed-Arrest,,Business/Financial Institution,1,,,1,,,Known
16032895,6/26/2016,3D,Anti-Black,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
16052250,10/10/2016,2D,Anti-Jewish,,Vandalism,Closed-Exception,,School/College,,,,,,,Unknown
180008956,2/20/2018,3D,Anti-Hispanic,,Vandalism,Open,,Society,,,,,,,Unknown
17012225,3/8/2017,2D,Anti-Black,Anti-Jewish,Vandalism,Closed-Admin,,School/College,,,,,,,Unknown
17014656,3/22/2017,1D,Anti-Hispanic,,Verbal Intimidation/Simple Assault,Inactive,,School/College,,,,,,,Unknown
190019525,4/26/2019,2D,Anti-Homosexual,,Written Intimidation/Simple Assault,Open,,Religious Organization,1,,,,,1,Known
180052330,10/18/2018,TPPD,Anti-Jewish,,Vandalism,Closed-Arrest,1,Individual(s),1,,,,,1,Known
170533042,9/22/2017,1D,Anti-Black,,Vandalism,Open,,School/College,,,,,,,Unknown
200020889,4/21/2020,1D,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
200021971,6/3/2020,4D,Anti-Black,Anti-Jewish,Vandalism,Open,,Business/Financial Institution,,,,,,,Unknown
190016854,4/11/2019,RCPD,Anti-Jewish,,Written Intimidation/Simple Assault,Open,1,Individual(s),1,,,,1,,Known
17008392,2/16/2017,1D,Anti-Jewish,,Vandalism,Closed-Admin,,School/College,3,3,,,,,Known
17000839,1/5/2017,6D,Anti-Islamic,,Written Intimidation/Simple Assault,N/A,,Religious Organization,,,,,,,Unknown
16054220,10/13/2016,1D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
180029724,6/15/2018,2D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
180043768,9/1/2018,5D,Anti-Other Religion,,Verbal Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
180053595,10/25/2018,RCPD,Anti-Homosexual,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
190020400,5/1/2019,4D,Anti-Black,,Vandalism,Inactive,,Society,,,,,,,Known
180026302,5/28/2018,GCPD,Anti-Jewish,,Flyer Left Behind,Inactive,1,Individual(s),,,,,,,Unknown
190043750,9/12/2019,2D,Anti-Jewish,Anti-Homosexual,Vandalism,Inactive,2,Individual(s),,,,,,,Unknown
200007490,2/14/2020,4D,Anti-Asian,Anti-Black,Assault (physical),Open,1,Individual(s),1,,,,,1,Known
170516892,7/1/2017,4D,Anti-Islamic,,Vandalism,Closed-Arrest,1,Individual(s),1,,,,,1,Known
190036323,7/31/2019,5D,Anti-Black,,Verbal Intimidation/Simple Assault,Open,1,Individual(s),,,,,,,Unknown
180014801,3/28/2018,1D,Anti-Jewish,,Verbal Intimidation/Simple Assault,Open,,Religious Organization,1,,,1,,,Known
17016332,3/31/2017,RCPD,Anti-Hispanic,,Assault (physical),Open,1,Individual(s),,,,,,,Unknown
180007511,2/13/2018,6D,Anti-Gender Non-Conforming,,Verbal Intimidation/Simple Assault,UNF,1,Individual(s),2,,,,,,Unknown
190014980,3/30/2019,2D,Anti-Black,Anti-Hispanic,Vandalism,Open,,School/College,,,,,,,Known
190004730,1/12/2019,3D,Anti-Homosexual,,Flyer Left Behind,N/A,,Society,,,,,,,Unknown
190000566,1/4/2019,2D,Anti-Black,Anti-Jewish,Vandalism,Inactive,,Business/Financial Institution,,,,,,,Unknown
190030991,6/28/2019,2D,Anti-Jewish,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
190005702,2/5/2019,1D,Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,Known
16061017,11/28/2016,6D,Anti-Jewish,,Vandalism,Open,,Government,,,,,,,Unknown
170547368,12/8/2017,GCPD,Anti-Jewish,,Vandalism,Open,,School/College,,,,,,,Unknown
200000206,1/1/2020,TPPD,Anti-Homosexual,,Vandalism,Open,1,Individual(s),,,,,,,Unknown
17015428,3/26/2017,RCPD,Anti-Hispanic,,Flyer Left Behind,N/A,,Society,,,,,,,Unknown
180009214,2/22/2018,4D,Anti-Hispanic,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,,,,,,Known
17008087,2/14/2017,GCPD,Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,Unknown
16014473,3/25/2016,2D,Anti-Jewish,,Flyer Left Behind,N/A,,Other,,,,,,,Unknown
17015199,3/25/2017,4D,Anti-Hispanic,,Verbal Intimidation/Simple Assault,N/A,,Society,1,,,,,1,Known
190038025,8/9/2019,RCPD,Anti-Black,,Written Intimidation/Simple Assault,N/A,,Society,,,,,,,Unknown
190024385,5/22/2019,4D,Anti-Homosexual,,Written Intimidation/Simple Assault,Closed-Exception,1,Individual(s),1,1,,,,,Known
16065935,12/23/2016,1D,Anti-Jewish,,Vandalism,Open,,Government,,,,,,,Unknown
170514039,6/16/2017,6D,Anti-Homosexual,,Vandalism,Inactive,,Society,,,,,,,Unknown
16064888,12/18/2016,2D,Anti-Jewish,,Flyer Left Behind,N/A,1,Individual(s),,,,,,,Unknown
180040116,8/12/2018,3D,Anti-Other Religion,,Vandalism,Inactive,,Religious Organization,,,,,,,Unknown
180056319,11/9/2018,4D,Anti-Homosexual,,Verbal Intimidation/Simple Assault,N/A,1,Individual(s),1,1,,,,,Known
180000185,1/2/2018,5D,Anti-Black,,Verbal Intimidation/Simple Assault,Inactive,1,Individual(s),1,,,,,,Unknown
170501371,4/9/2017,RCPD,Anti-Multi-Racial,,Flyer Left Behind,N/A,,Society,,,,,,,Unknown
180030512,6/20/2018,RCPD,Anti-Jewish,,Written Intimidation/Simple Assault,Open,,Religious Organization,,,,,,,Unknown
190006227,2/8/2019,RCPD,Anti-Jewish,Anti-Black,Vandalism,Open,,Society,,,,,,,Unknown
180054345,10/30/2018,4D,Anti-Jewish,,Vandalism,Open,2,Individual(s),,,,,,,Unknown
16055886,10/30/2016,2D,Anti-Jewish,,Vandalism,Inactive,,School/College,,,,,,,Unknown
16019185,4/19/2016,5D,Anti-Multi-Racial,,Flyer Left Behind,N/A,,Individual(s),,,,,,,Unknown
200007845,2/16/2020,TPPD,Anti-White,,Vandalism,N/A,,Society,,,,,,,Unknown
17016198,3/29/2017,5D,Anti-White,,Assault (physical),Closed-Exception,1,Individual(s),2,2,,,,,Known
170513635,6/14/2017,2D,Anti-Black,,Display of Noose,Closed-Admin,1,Individual(s),1,1,,,,,Known
16020705,4/27/2016,2D,Anti-Multi-Religious Group,,Vandalism,Open,,Government,,,,,,,Unknown
170511952,6/5/2017,3D,Anti-Islamic,,Written Intimidation/Simple Assault,Closed-Admin,2,Individual(s),,,,,,,Unknown
