"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"1",190013103,"1D","Anti-Black","Assault (simple)","Individual(s)",2019
"2",180055472,"1D","Anti-Jewish","Vandalism","School/College",2018
"3",190026176,"3D","Anti-Transgender","Other","Individual(s)",2019
"4",170515340,"2D","Anti-Homosexual","Vandalism","Individual(s)",2017
"5",170520131,"4D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"6",170513601,"2D","Anti-Jewish","Vandalism","Society",2017
"7",170542522,"1D","Anti-Black","Vandalism","School/College",2017
"8",170512439,"1D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2017
"9",180056039,"2D","Anti-Black","Written Intimidation/Simple Assault","School/College",2018
"10",200021658,"2D","Anti-Black","Other","Individual(s)",2020
"11",180042888,"4D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2018
"12",180064394,"4D","Anti-Islamic","Vandalism","Religious Organization",2018
"13",170500285,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"14",190011926,"4D","Anti-Asian","Vandalism","Individual(s)",2019
"15",170539207,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2017
"16",170511135,"1D","Anti-Jewish","Vandalism","School/College",2017
"17",17012598,"5D","Anti-Islamic","Written Intimidation/Simple Assault","Religious Organization",2017
"18",170501940,"4D","Anti-Black","Vandalism","Individual(s)",2017
"19",16059010,"1D","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2016
"20",16020540,"2D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"21",180053615,"4D","Anti-Black","Assault (physical)","Individual(s)",2018
"22",170542473,"4D","Anti-Homosexual","Assault (physical)","Individual(s)",2017
"23",180032468,"5D","Anti-Islamic","Vandalism","Individual(s)",2018
"24",180026780,"5D","Anti-Black","Flyer Left Behind","Individual(s)",2018
"25",200008286,"6D","Anti-Jewish","Vandalism","School/College",2020
"26",180011552,"1D","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2018
"27",170538262,"GCPD","Anti-Black","Vandalism","School/College",2017
"28",16046525,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2016
"29",16018523,"2D","Anti-Black","Assault (physical)","Individual(s)",2016
"30",16047778,"5D","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2016
"31",170523171,"3D","Anti-Black","Vandalism","Individual(s)",2017
"32",170520886,"RCPD","Anti-Black","Physical Intimidation/Simple Assault","School/College",2017
"33",170510517,"TPPD","Anti-Catholic","Vandalism","School/College",2017
"34",170534164,"GCPD","Anti-Jewish","Vandalism","Government",2017
"35",170548977,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"36",170522789,"5D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2017
"37",190035257,"4D","Anti-Jewish","Vandalism","Society",2019
"38",190034844,"RCPD","Anti-Jewish","Vandalism","Society",2019
"39",17012395,"1D","Anti-Black","Vandalism","School/College",2017
"40",180054635,"6D","Anti-Jewish","Vandalism","School/College",2018
"41",170526440,"4D","Anti-Black","Assault (physical)","Individual(s)",2017
"42",16064683,"6D","Anti-Transgender","Assault (physical)","Individual(s)",2016
"43",16043077,"5D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2016
"44",170529740,"6D","Anti-Multi-Racial","Vandalism","Business/Financial Institution",2017
"45",170528035,"6D","Anti-Multi-Racial","Vandalism","Government",2017
"46",190044912,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Society",2019
"47",16000600,"1D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"48",190044661,"4D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"49",16048759,"1D","Anti-Jewish","Vandalism","School/College",2016
"50",16058747,"5D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2016
"51",16015330,"3D","Anti-Jewish","Vandalism","School/College",2016
"52",16058596,"6D","Anti-Black","Verbal Intimidation/Simple Assault","Business/Financial Institution",2016
"53",180002565,"3D","Anti-Islamic","Flyer Left Behind","Individual(s)",2018
"54",180006627,"2D","Anti-Asian","Other","Individual(s)",2018
"55",170537609,"6D","Anti-Black","Assault (physical)","Individual(s)",2017
"56",180036689,"5D","Anti-Black","Vandalism","Individual(s)",2018
"57",200012238,"4D","Anti-Jewish","Assault (physical)","Individual(s)",2020
"58",16035647,"2D","Anti-Black","Assault (physical)","Individual(s)",2016
"59",200012130,"4D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"60",170522344,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2017
"61",180062118,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2018
"62",180051193,"GCPD","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"63",200019091,"4D","Anti-Black","Assault (simple)","Individual(s)",2020
"64",180014425,"4D","Anti-Jewish","Verbal Intimidation/Simple Assault","Religious Organization",2018
"65",180051896,"2D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2018
"66",190006264,"1D","Anti-Jewish","Vandalism","School/College",2019
"67",180055941,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2018
"68",200019612,"4D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2020
"69",190017752,"2D","Anti-Black","Written Intimidation/Simple Assault","School/College",2019
"70",16033056,"5D","Anti-Hispanic","Written Intimidation/Simple Assault","Individual(s)",2016
"71",190048433,"4D","Anti-Black","Vandalism","Society",2019
"72",180028849,"5D","Anti-White","Assault (physical)","Individual(s)",2018
"73",200012538,"2D","Anti-Hispanic","Assault (physical)","Individual(s)",2020
"74",190010787,"1D","Anti-Jewish","Vandalism","School/College",2019
"75",17008045,"RCPD","Anti-Black","Vandalism","School/College",2017
"76",17015593,"RCPD","Anti-Jewish","Vandalism","School/College",2017
"77",17001593,"2D","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2017
"78",190042835,"2D","Anti-Black","Assault (physical)","Individual(s)",2019
"79",180012810,"2D","Anti-Multi-Racial","Written Intimidation/Simple Assault","Other",2018
"80",170548562,"1D","Anti-Jewish","Vandalism","School/College",2017
"81",17012040,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"82",200000046,"3D","Anti-White","Verbal Intimidation/Simple Assault","Individual(s)",2020
"83",190053319,"RCPD","Anti-Jewish","Other","Society",2019
"84",16018453,"6D","Anti-Jewish","Vandalism","Other",2016
"85",17010896,"1D","Anti-Transgender","Assault (physical)","Individual(s)",2017
"86",16007397,"3D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"87",180003605,"RCPD","Anti-Jewish","Vandalism","Individual(s)",2018
"88",180060752,"4D","Anti-Jewish","Vandalism","School/College",2018
"89",16000094,"1D","Anti-Jewish","Vandalism","Government",2016
"90",190031014,"4D","Anti-Other Religion","Vandalism","Religious Organization",2019
"91",200021967,"6D","Anti-White","Assault (physical)","Individual(s)",2020
"92",200017148,"4D","Anti-Catholic","Vandalism","Religious Organization",2020
"93",16031785,"5D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"94",200006186,"2D","Anti-Jewish","Written Intimidation/Simple Assault","School/College",2020
"95",190022287,"2D","Anti-Jewish","Vandalism","Other",2019
"96",170512062,"6D","Anti-Black","Vandalism","Society",2017
"97",16056997,"2D","Anti-Jewish","Vandalism","School/College",2016
"98",170524265,"1D","Anti-Jewish","Vandalism","Government",2017
"99",170519264,"2D","Anti-Homosexual","Other","Religious Organization",2017
"100",190027831,"2D","Anti-Jewish","Vandalism","School/College",2019
"101",170508274,"5D","Anti-Black","Other","Society",2017
"102",16059407,"4D","Anti-Multi-Racial","Vandalism","School/College",2016
"103",170542741,"1D","Anti-Multi-Religious Group","Other","Individual(s)",2017
"104",190037812,"5D","Anti-White","Assault (physical)","Individual(s)",2019
"105",190049612,"3D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"106",16028599,"5D","Anti-Islamic","Assault (physical)","Individual(s)",2016
"107",180058409,"2D","Anti-Black","Written Intimidation/Simple Assault","Religious Organization",2018
"108",170538425,"2D","Anti-Asian","Physical Intimidation/Simple Assault","Individual(s)",2017
"109",16065398,"2D","Anti-Jewish","Vandalism","School/College",2016
"110",190007372,"5D","Anti-Jewish","Written Intimidation/Simple Assault","School/College",2019
"111",200015360,"4D","Anti-Catholic","Arson","Religious Organization",2020
"112",190045257,"2D","Anti-Jewish","Vandalism","Individual(s)",2019
"113",190046803,"2D","Anti-Homosexual","Vandalism","Individual(s)",2019
"114",16064150,"6D","Anti-Multi-Racial","Vandalism","Other",2016
"115",16058679,"3D","Anti-Black","Vandalism","School/College",2016
"116",190039589,"1D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"117",16044286,"4D","Anti-Black","Assault (physical)","Individual(s)",2016
"118",180005117,"4D","Anti-Transgender","Verbal Intimidation/Simple Assault","Individual(s)",2018
"119",180023349,"4D","Anti-Jewish","Vandalism","Society",2018
"120",17010515,"RCPD","Anti-White","Vandalism","Society",2017
"121",16025158,"5D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2016
"122",190016987,"RCPD","Anti-Black","Written Intimidation/Simple Assault","Society",2019
"123",190038334,"6D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"124",16065937,"5D","Anti-Other Ethnicity","Other","Individual(s)",2016
"125",200014285,"RCPD","Anti-Jewish","Vandalism","Religious Organization",2020
"126",180007406,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2018
"127",190011995,"4D","Anti-Black","Vandalism","Government",2019
"128",200011351,"2D","Anti-Hispanic","Assault (physical)","Individual(s)",2020
"129",190024312,"2D","Anti-Jewish","Vandalism","School/College",2019
"130",200022388,"5D","Anti-Jewish","Vandalism","Society",2020
"131",170513456,"2D","Anti-White","Verbal Intimidation/Simple Assault","Individual(s)",2017
"132",180062235,"4D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2018
"133",190060496,"2D","Anti-Transgender","Assault (physical)","Individual(s)",2019
"134",16035615,"2D","Anti-Black","Other","Religious Organization",2016
"135",170546720,"4D","Anti-Jewish","Vandalism","School/College",2017
"136",190025730,"2D","Anti-Jewish","Vandalism","School/College",2019
"137",17006589,"RCPD","Anti-Jewish","Vandalism","School/College",2017
"138",170515518,"4D","Anti-Homosexual","Vandalism","Individual(s)",2017
"139",190041672,"TPPD","Anti-Homosexual","Vandalism","Individual(s)",2019
"140",16060434,"3D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"141",16000451,"2D","Anti-Black","Vandalism","School/College",2016
"142",200006007,"3D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2020
"143",16014662,"6D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2016
"144",17005427,"6D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2017
"145",170528788,"2D","Anti-Jewish","Flyer Left Behind","Individual(s)",2017
"146",180036812,"1D","Anti-Jewish","Flyer Left Behind","Individual(s)",2018
"147",200008665,"2D","Anti-Jewish","Written Intimidation/Simple Assault","School/College",2020
"148",16061372,"3D","Anti-White","Vandalism","Individual(s)",2016
"149",190043357,"4D","Anti-Asian","Assault (physical)","Individual(s)",2019
"150",170545799,"5D","Anti-Jewish","Vandalism","School/College",2017
"151",200011976,"4D","Anti-Jewish","Vandalism","School/College",2020
"152",17000751,"RCPD","Anti-Jewish","Vandalism","Government",2017
"153",170505864,"2D","Anti-Homosexual","Verbal Intimidation/Simple Assault","Individual(s)",2017
"154",190024373,"1D","Anti-Jewish","Vandalism","School/College",2019
"155",190003079,"RCPD","Anti-Jewish","Vandalism","School/College",2019
"156",17001426,"1D","Anti-Jewish","Verbal Intimidation/Simple Assault","Religious Organization",2017
"157",16031132,"2D","Anti-Multi-Religious Group","Vandalism","School/College",2016
"158",16022796,"3D","Anti-Hispanic","Assault (physical)","Individual(s)",2016
"159",190020026,"2D","Anti-Black","Verbal Intimidation/Simple Assault","School/College",2019
"160",16064736,"2D","Anti-Homosexual","Vandalism","Religious Organization",2016
"161",170513786,"3D","Anti-Jewish","Vandalism","School/College",2017
"162",190021275,"5D","Anti-Transgender","Vandalism","Business/Financial Institution",2019
"163",200014895,"GCPD","Anti-Jewish","Verbal Intimidation/Simple Assault","Religious Organization",2020
"164",200012482,"4D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2020
"165",180039198,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"166",16045255,"3D","Anti-Jewish","Vandalism","Individual(s)",2016
"167",180036489,"5D","Anti-Multi-Racial","Flyer Left Behind","Individual(s)",2018
"168",200015942,"5D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2020
"169",16022218,"1D","Anti-Multi-Racial","Vandalism","School/College",2016
"170",16062433,"4D","Anti-Jewish","Vandalism","School/College",2016
"171",180009756,"1D","Anti-Black","Other","Government",2018
"172",16035346,"3D","Anti-Homosexual","Assault (physical)","Individual(s)",2016
"173",16002798,"5D","Anti-Transgender","Verbal Intimidation/Simple Assault","Individual(s)",2016
"174",170521252,"RCPD","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"175",170523413,"4D","Anti-Black","Vandalism","Individual(s)",2017
"176",190022870,"RCPD","Anti-Hispanic","Vandalism","Business/Financial Institution",2019
"177",190023755,"2D","Anti-Other Ethnicity","Vandalism","School/College",2019
"178",190056448,"2D","Anti-Jewish","Vandalism","Individual(s)",2019
"179",200003519,"5D","Anti-Jewish","Vandalism","School/College",2020
"180",170524454,"6D","Anti-Homosexual","Verbal Intimidation/Simple Assault","Individual(s)",2017
"181",180023500,"RCPD","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2018
"182",17010637,"5D","Anti-Jewish","Vandalism","School/College",2017
"183",190025582,"2D","Anti-Jewish","Vandalism","School/College",2019
"184",180010731,"TPPD","Anti-Transgender","Assault (physical)","Individual(s)",2018
"185",16001171,"2D","Anti-Jewish","Vandalism","School/College",2016
"186",16064844,"6D","Anti-Homosexual","Vandalism","Other",2016
"187",170528411,"6D","Anti-Black","Physical Intimidation/Simple Assault","Individual(s)",2017
"188",170531517,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"189",190023112,"1D","Anti-Jewish","Vandalism","School/College",2019
"190",180000925,"2D","Anti-Asian","Written Intimidation/Simple Assault","Individual(s)",2018
"191",16067112,"1D","Anti-Jewish","Vandalism","Other",2016
"192",180036383,"GCPD","Anti-Arab","Vandalism","Individual(s)",2018
"193",190041233,"RCPD","Anti-Other Ethnicity","Verbal Intimidation/Simple Assault","Individual(s)",2019
"194",16030098,"4D","Anti-Asian","Verbal Intimidation/Simple Assault","Individual(s)",2016
"195",190040984,"4D","Anti-Jewish","Vandalism","Other",2019
"196",200002368,"4D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2020
"197",180034717,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"198",16031655,"2D","Anti-Islamic","Assault (physical)","Individual(s)",2016
"199",17011943,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2017
"200",180053627,"1D","Anti-Jewish","Vandalism","School/College",2018
"201",200001627,"4D","Anti-Jewish","Flyer Left Behind","Society",2020
"202",170528121,"RCPD","Anti-Multi-Racial","Flyer Left Behind","Society",2017
"203",16020209,"1D","Anti-Jewish","Vandalism","School/College",2016
"204",180005896,"3D","Anti-Homosexual","Vandalism","Individual(s)",2018
"205",190022028,"4D","Anti-Jewish","Vandalism","Society",2019
"206",16058486,"3D","Anti-Hispanic","Vandalism","Religious Organization",2016
"207",16058581,"4D","Anti-Hispanic","Assault (physical)","Individual(s)",2016
"208",16042149,"3D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"209",200021910,"4D","Anti-Black","Vandalism","Business/Financial Institution",2020
"210",200010934,"RCPD","Anti-Asian","Written Intimidation/Simple Assault","Individual(s)",2020
"211",190030534,"1D","Anti-Hispanic","Assault (physical)","Individual(s)",2019
"212",17000401,"2D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2017
"213",200011796,"RCPD","Anti-Multi-Racial","Written Intimidation/Simple Assault","School/College",2020
"214",16012552,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"215",190015763,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"216",180004831,"RCPD","Anti-Gender Non-Conforming","Assault (physical)","Individual(s)",2018
"217",16014707,"TPPD","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"218",180061842,"6D","Anti-Homosexual","Vandalism","School/College",2018
"219",190018069,"2D","Anti-Jewish","Vandalism","Society",2019
"220",170535772,"1D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2017
"221",16052215,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2016
"222",17007821,"GCPD","Anti-Jewish","Vandalism","School/College",2017
"223",200021449,"2D","Anti-Homosexual","Assault (physical)","Individual(s)",2020
"224",190006274,"1D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
"225",180011551,"1D","Anti-White","Written Intimidation/Simple Assault","School/College",2018
"226",180008200,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"227",170526402,"RCPD","Anti-Jewish","Flyer Left Behind","Other",2017
"228",16058365,"3D","Anti-Islamic","Verbal Intimidation/Simple Assault","Religious Organization",2016
"229",190049702,"3D","Anti-Black","Vandalism","Individual(s)",2019
"230",180044692,"4D","Anti-Jewish","Vandalism","Religious Organization",2018
"231",180014001,"2D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"232",190003502,"4D","Anti-Islamic","Verbal Intimidation/Simple Assault","Individual(s)",2019
"233",16063483,"2D","Anti-Jewish","Flyer Left Behind","Individual(s)",2016
"234",170507863,"2D","Anti-Black","Vandalism","School/College",2017
"235",200014302,"5D","Anti-Other Religion","Vandalism","Religious Organization",2020
"236",200005776,"4D","Anti-Black","Vandalism","School/College",2020
"237",190025231,"2D","Anti-Black","Vandalism","Society",2019
"238",190007085,"5D","Anti-Black","Assault (simple)","Individual(s)",2019
"239",180056355,"4D","Anti-Transgender","Assault (physical)","Individual(s)",2018
"240",16060113,"2D","Anti-Other Ethnicity","Written Intimidation/Simple Assault","Individual(s)",2016
"241",170516376,"GCPD","Anti-Black","Vandalism","Individual(s)",2017
"242",190030993,"1D","Anti-Black","Vandalism","Other",2019
"243",190021305,"4D","Anti-Asian","Vandalism","Individual(s)",2019
"244",180007926,"1D","Anti-Black","Vandalism","School/College",2018
"245",190019957,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"246",200003031,"RCPD","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"247",170508252,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"248",200001072,"TPPD","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2020
"249",17012521,"1D","Anti-Catholic","Vandalism","Individual(s)",2017
"250",17004089,"3D","Anti-Jewish","Vandalism","School/College",2017
"251",180012537,"6D","Anti-Black","Vandalism","Government",2018
"252",180001592,"4D","Anti-Multi-Racial","Vandalism","Individual(s)",2018
"253",180054728,"6D","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2018
"254",16061267,"1D","Anti-Black","Vandalism","School/College",2016
"255",16010040,"6D","Anti-Jewish","Vandalism","Other",2016
"256",16034348,"2D","Anti-Jewish","Vandalism","Government",2016
"257",190037127,"4D","Anti-Black","Vandalism","Individual(s)",2019
"258",200012207,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"259",190043481,"GCPD","Anti-Multi-Racial","Vandalism","Society",2019
"260",200005935,"4D","Anti-Transgender","Verbal Intimidation/Simple Assault","Individual(s)",2020
"261",200015065,"RCPD","Anti-Jewish","Vandalism","Business/Financial Institution",2020
"262",180036449,"5D","Anti-Jewish","Flyer Left Behind","Individual(s)",2018
"263",200012731,"RCPD","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2020
